	task1	task2	task3	task4	task5	task6	task7	task8	task9	task10	task11	task12	
core5	1017	1501	481	318	1663	1060	1738	1680	1323	639	1012	1497	
core6	390	1418	1559	1105	1108	1361	1184	1542	1509	473	372	610	
core7	1247	975	1493	1267	305	363	444	1503	458	1024	1194	1577	
core8	780	460	998	335	364	1024	837	842	984	908	434	1799	
core9	1419	1117	786	1410	1449	991	900	1588	828	579	1323	624	
core10	587	457	821	1693	1730	747	1218	1294	1493	610	1155	1361	

	task1	task2	task3	task4	task5	task6	task7	task8	task9	task10	task11	task12	
core1	609	1232	690	1064	864	796	344	1743	713	1645	686	824	
core2	1291	754	629	1335	1718	837	1747	767	1115	1200	568	840	
core3	1016	1086	491	853	924	635	636	519	883	484	845	1553	
core4	1369	755	1776	1342	800	1673	1609	1202	764	1489	1135	1082	
core5	639	1424	836	1741	960	1709	1786	1298	810	1460	1209	1232	
core6	899	1626	1314	1728	1673	1183	576	1792	803	326	647	790	
core7	1126	558	1297	1362	625	1566	1542	628	1371	357	1642	1607	
core8	1150	1792	543	1200	862	528	1390	1255	526	461	1420	621	
core9	801	1319	1743	341	409	1774	325	733	1210	1647	1057	592	
core10	740	1024	1398	1476	1647	1598	1695	1110	613	425	911	1379	

	task1	task2	task3	task4	task5	task6	task7	task8	task9	task10	task11	task12	
core1	1505	832	887	1051	326	1772	590	755	1322	1105	1280	398	
core2	1322	1699	1107	873	1460	1172	1658	908	1003	820	1627	550	
core3	1243	947	1470	1265	435	1753	1781	822	734	634	795	1538	
core4	1193	812	1630	1324	1312	360	820	1190	754	932	697	359	
core5	1365	1328	1775	876	1549	1720	868	1042	789	1035	1172	1599	
core6	703	1678	1265	1338	1535	1798	1689	484	1136	1339	783	1041	
core7	1500	1072	1228	1474	930	1570	1523	633	1518	602	1772	966	
core8	1423	638	1555	1763	1097	1635	677	830	1259	1232	1694	828	
core9	683	1714	1692	1326	1636	587	1420	960	1127	1644	676	947	
core10	1522	353	924	1353	619	1573	1377	1616	691	997	1098	653	

	task1	task2	task3	task4	task5	task6	task7	task8	task9	task10	task11	task12	
core1	1159	1008	1632	938	1066	1190	547	751	880	1745	984	1131	
core2	1661	571	1252	1072	1505	604	1711	351	657	600	1264	1738	
core3	1353	393	895	1351	344	672	362	422	1587	1317	750	872	
core4	1517	302	614	699	1747	484	1756	653	688	1649	628	977	
core5	1719	462	1336	1739	567	1682	1516	697	1656	751	374	991	
core6	1706	1443	1784	915	1735	1126	1432	1743	1320	1399	1215	1630	
core7	1053	1522	1671	1369	348	714	928	1095	502	1268	487	1132	
core8	337	542	1508	404	1536	300	1089	568	756	1473	444	1019	
core9	1277	797	862	656	1391	1246	958	698	938	926	338	1522	
core10	1494	600	487	1644	905	1067	494	1043	532	846	1612	993	

	task1	task2	task3	task4	task5	task6	task7	task8	task9	task10	task11	task12	
core1	1408	1620	1169	1630	1084	815	1648	743	507	507	476	413	
core2	1682	1382	1404	589	1005	1726	419	1396	1412	1779	1429	948	
core3	592	1074	819	1148	896	1572	927	811	1703	577	653	1195	
core4	1305	1409	1298	1432	1349	573	1600	695	919	345	365	711	
core5	984	1496	628	614	1286	1408	307	965	377	1293	633	1500	
core6	1014	1655	404	1131	832	1767	1292	1040	1196	1194	665	1523	
core7	885	1357	332	1546	1595	1208	393	1245	414	619	446	1079	
core8	900	787	1387	430	719	408	1080	1498	879	434	1032	1694	
core9	862	1115	1698	1540	1422	481	1242	706	306	780	1366	1267	
core10	1753	815	1454	723	711	894	1305	920	1437	1520	815	508	

	task1	task2	task3	task4	task5	task6	task7	task8	task9	task10	task11	task12	
core1	962	1652	1218	495	306	1777	518	1413	438	1262	1414	1549	
core2	1306	1351	934	1067	1717	1460	944	1286	1627	368	995	1722	
core3	1774	1517	1252	475	1237	1686	670	1418	1737	736	368	1017	
core4	562	1424	1542	492	1043	667	778	1232	1297	1439	304	656	
core5	1769	1645	1705	1643	506	1776	1044	1154	1584	448	1199	1540	
core6	1605	505	361	829	1372	655	918	1391	649	1418	361	1211	
core7	468	1769	1433	1066	1010	1551	1427	1120	1369	1272	828	1351	
core8	830	868	935	336	1252	788	710	1682	651	813	800	1317	
core9	1013	1083	341	1521	633	1495	474	882	1790	1158	627	482	
core10	1538	835	1726	1032	820	471	1626	737	1172	1673	1280	901	

	task1	task2	task3	task4	task5	task6	task7	task8	task9	task10	task11	task12	
core1	1547	725	1789	1256	673	1500	967	1218	324	1697	429	326	
core2	1217	1540	1618	1431	866	621	1162	1718	1313	1055	1678	1115	
core3	1397	1718	1736	632	1259	948	1332	691	769	821	1685	457	
core4	556	846	1255	312	1038	1608	1757	664	946	1507	1063	1629	
core5	744	719	757	1545	1445	1222	1077	1073	1411	661	877	807	
core6	1221	383	1362	1115	1229	707	1360	686	1464	620	616	1719	
core7	839	1551	757	757	309	999	963	1498	1790	930	1365	785	
core8	1760	1123	755	1128	988	423	1207	342	1544	695	1233	502	
core9	1256	1666	1301	1606	990	1575	1428	1469	538	1065	621	871	
core10	449	608	525	664	1410	619	843	664	351	1442	1049	1296	

	task1	task2	task3	task4	task5	task6	task7	task8	task9	task10	task11	task12	
core1	957	1545	882	497	1052	1779	1348	1471	1227	408	744	1350	
core2	1000	515	860	392	1550	1692	647	578	451	499	1739	324	
core3	1566	1637	383	823	1661	1764	1173	954	884	880	696	1159	
core4	1665	514	1127	1230	1288	336	1288	1638	1425	736	816	669	
core5	1568	639	734	1254	480	939	1710	931	578	1159	893	1687	
core6	486	1342	1212	1563	507	1021	1016	1657	1094	757	435	689	
core7	1797	1440	988	645	917	1215	349	735	1581	1530	1558	1327	
core8	623	1320	1010	789	1447	1500	686	1644	1527	1412	365	1323	
core9	1260	1401	1033	738	1312	931	1005	1609	1397	950	1734	564	
core10	1658	1746	1041	1236	520	1091	1726	563	1392	1033	566	1317	

	task1	task2	task3	task4	task5	task6	task7	task8	task9	task10	task11	task12	
core1	1744	460	1654	1722	1682	1160	1223	1219	1721	1600	1077	792	
core2	1038	1236	1753	878	1140	384	1658	1206	1285	1386	1728	1291	
core3	727	652	1110	1533	1617	659	903	582	997	1422	676	838	
core4	460	1376	1095	1291	811	1791	1289	485	1408	880	1615	1263	
core5	744	1432	1465	334	1769	1298	409	1208	1259	688	319	1529	
core6	1138	1650	1440	481	1788	1321	1741	1178	904	1438	1380	1634	
core7	1587	342	1228	1474	441	1645	1178	510	683	460	1610	843	
core8	641	1465	1324	1751	1761	654	398	1357	999	1636	1597	1298	
core9	1789	1194	1594	1480	1638	1129	569	772	363	927	1227	1611	
core10	1720	1700	635	1711	1770	1096	1140	1517	740	881	1101	1182	

	task1	task2	task3	task4	task5	task6	task7	task8	task9	task10	task11	task12	
core1	1539	336	885	976	1641	1394	566	586	1455	1434	1506	1040	
core2	720	1274	841	610	1198	494	1573	402	1562	1055	621	1502	
core3	1180	1097	505	1024	1176	1231	755	1773	417	1653	999	1522	
core4	755	1057	1767	524	723	954	1382	702	1665	1752	1484	1766	
core5	760	306	1052	1334	1144	895	1374	1082	394	917	1679	913	
core6	1700	473	341	1279	978	1044	1026	1775	880	1463	363	853	
core7	1320	903	424	702	1111	1245	1092	1622	1664	473	1033	496	
core8	1048	682	591	1513	624	437	384	1167	1671	1226	1135	871	
core9	994	1615	501	1642	439	1297	363	1447	1460	380	1076	1003	
core10	408	1488	509	403	1783	1445	1225	800	1383	1064	1123	381	

	task1	task2	task3	task4	task5	task6	task7	task8	task9	task10	task11	task12	
core1	1275	1037	858	413	1568	903	844	1686	1732	898	532	897	
core2	501	1621	555	1095	1768	1410	1350	1042	1035	372	357	447	
core3	601	628	1709	692	1194	979	960	717	1285	1688	1056	1602	
core4	1361	1483	1703	685	985	564	891	1534	1054	808	1597	1020	
core5	1738	1412	1417	490	661	690	672	1436	951	962	449	1658	
core6	655	492	455	356	1754	1355	1640	912	1763	1320	942	1591	
core7	555	306	519	1430	706	886	952	1686	1087	639	1230	1681	
core8	819	591	1489	1495	1570	311	1509	785	722	311	355	571	
core9	476	706	1156	471	812	682	1194	443	1164	574	486	1768	
core10	353	583	1654	1387	395	311	1780	1718	1000	1720	1604	430	

	task1	task2	task3	task4	task5	task6	task7	task8	task9	task10	task11	task12	
core1	442	1498	1195	910	1461	1375	1205	1040	696	527	407	768	
core2	1386	472	859	1005	1657	1530	828	342	637	1462	1768	1065	
core3	554	867	539	526	1565	538	1655	316	1672	752	1090	1588	
core4	646	949	460	1448	782	1275	526	1775	420	702	1775	1193	
core5	795	1742	844	1405	1736	1575	1728	1074	671	1552	523	651	
core6	1738	675	1438	1367	980	1560	1613	904	717	883	1084	940	
core7	439	1750	529	1481	803	338	1251	943	1510	1087	1477	1795	
core8	1565	1332	565	1747	1375	1722	1197	1102	992	1761	318	1706	
core9	1275	567	1503	591	936	981	1523	1555	1685	1666	459	1511	
core10	1729	1557	1191	1579	1149	1157	1127	684	782	1612	325	1654	

	task1	task2	task3	task4	task5	task6	task7	task8	task9	task10	task11	task12	
core1	746	1566	1018	1572	840	1793	351	1025	1046	1184	464	433	
core2	1102	1651	921	1273	1398	1019	1628	454	976	1659	1261	890	
core3	871	1258	1327	483	1489	1168	1226	1510	1035	1515	1331	676	
core4	1022	619	576	1147	635	1535	1264	584	1303	703	1771	1479	
core5	1208	1103	975	336	946	841	1288	1170	1607	774	764	1733	
core6	1113	1669	848	1225	1298	979	924	1005	1359	921	938	1449	
core7	986	657	1704	1288	343	1640	1736	1075	1565	918	1257	385	
core8	1334	1282	569	1795	1677	707	1044	1443	1425	593	1523	905	
core9	461	358	1541	817	1569	414	1690	1156	1515	1423	1220	1653	
core10	980	370	460	891	1021	1083	1170	1162	1699	1348	1241	568	

	task1	task2	task3	task4	task5	task6	task7	task8	task9	task10	task11	task12	
core1	437	369	456	1069	1001	1688	1268	310	1207	568	381	1179	
core2	568	439	1454	1230	1160	891	1785	1428	1328	1793	1376	1388	
core3	1116	855	839	963	795	798	845	1431	1714	863	939	1298	
core4	375	392	824	1226	1649	1660	531	891	800	1676	1156	1430	
core5	1251	1734	614	1389	1565	1791	937	784	806	1085	1644	1609	
core6	1713	1253	836	1516	1469	445	1273	861	796	1582	1670	1761	
core7	1233	483	324	1746	1661	690	397	1636	525	1774	585	624	
core8	1083	599	481	548	1559	1428	989	1589	1351	1492	1234	1602	
core9	1367	1623	1025	1082	955	720	327	757	1008	838	1649	1486	
core10	794	1432	1528	1563	521	522	784	1685	1406	1759	1354	1487	

	task1	task2	task3	task4	task5	task6	task7	task8	task9	task10	task11	task12	
core1	454	851	556	1234	1589	1536	865	691	642	1516	401	346	
core2	1475	867	1398	685	1365	1674	1099	1549	393	633	863	1619	
core3	1507	586	1091	386	315	541	385	1157	1578	1663	914	1327	
core4	742	1007	1475	379	730	1349	448	1561	842	1390	831	794	
core5	725	776	1764	1106	975	822	1452	1701	778	1083	1423	1167	
core6	1189	961	877	1483	1329	1631	406	1214	581	659	348	1192	
core7	1735	600	1765	926	1548	631	1066	1213	838	1628	1139	331	
core8	1537	922	758	1275	675	1252	406	315	1099	346	1093	391	
core9	1690	1602	1194	614	847	1133	1647	1635	1300	1133	766	978	
core10	1158	998	551	855	404	1120	519	509	386	636	486	918	

	task1	task2	task3	task4	task5	task6	task7	task8	task9	task10	task11	task12	
core1	763	1692	1525	923	709	348	1116	855	466	339	417	372	
core2	440	1772	1740	644	1247	1713	1734	1156	484	735	625	855	
core3	1445	1697	858	1052	1084	655	1150	321	1639	446	1185	1064	
core4	915	1394	614	1137	1053	1034	1613	682	1302	985	973	1036	
core5	693	698	1335	496	548	1034	1129	1072	363	914	1402	574	
core6	1618	1135	1237	1700	458	1161	828	859	341	415	1631	686	
core7	760	1563	477	1415	1161	686	474	1716	1038	1342	489	1348	
core8	868	1496	1700	1483	979	1782	1496	1442	392	991	1499	1779	
core9	962	837	1500	1001	458	1180	498	504	352	1299	332	1481	
core10	1488	1019	1201	534	1506	454	468	1730	1557	872	1031	855	

	task1	task2	task3	task4	task5	task6	task7	task8	task9	task10	task11	task12	
core1	1432	900	1520	1580	310	1578	825	1480	1183	756	788	667	
core2	863	1643	356	323	1530	689	1233	1269	505	1531	737	1634	
core3	1562	974	564	1531	1752	1371	1008	1735	1101	1201	330	720	
core4	1751	995	1268	451	994	1729	1394	1293	1161	712	1312	1652	
core5	1796	1090	699	427	1551	1721	344	1557	1131	1390	647	1413	
core6	763	1574	740	1588	879	1222	928	536	802	949	585	1164	
core7	1021	1794	1636	961	1003	1563	531	315	335	709	812	862	
core8	1128	1513	1795	1668	743	413	1106	1503	347	611	1060	1766	
core9	1360	1580	876	1771	332	1109	498	1671	1103	491	1583	1464	
core10	616	817	546	934	737	1102	1400	1660	1644	1753	924	1323	

	task1	task2	task3	task4	task5	task6	task7	task8	task9	task10	task11	task12	
core1	1525	1091	1131	1133	1250	774	1388	683	402	1023	907	1060	
core2	751	1412	660	1681	1296	903	566	906	1414	916	1017	763	
core3	1255	624	995	1539	589	549	968	1428	1728	954	379	662	
core4	1377	1445	1468	1681	1615	759	831	801	888	1092	902	513	
core5	783	584	1309	1056	736	967	628	1053	552	1041	1004	1676	
core6	1292	848	1083	424	534	932	1679	1014	454	658	603	554	
core7	1656	656	1286	1615	1541	921	573	782	564	845	824	910	
core8	1326	1036	567	907	682	1361	742	379	522	1743	375	1640	
core9	928	707	1518	925	665	882	1791	735	1446	1778	1181	1076	
core10	1234	1778	553	1522	1777	1302	1035	325	1634	623	1598	999	

	task1	task2	task3	task4	task5	task6	task7	task8	task9	task10	task11	task12	
core1	683	1375	806	1399	931	501	662	1440	1429	1216	1510	968	
core2	821	911	946	1032	1504	1408	761	712	396	779	1557	1635	
core3	627	1301	1696	1716	1357	1061	563	872	1163	1109	738	886	
core4	903	1705	932	1739	1286	366	1098	1167	736	411	1525	811	
core5	1333	859	642	1109	1025	433	303	1646	904	934	688	1038	
core6	835	573	866	671	577	693	676	860	1468	1498	1198	1530	
core7	1653	478	1509	374	449	492	484	1060	1432	1233	1085	1242	
core8	716	1554	1653	1793	334	1690	535	1321	1461	659	428	400	
core9	1195	1367	1549	1448	1423	862	836	652	1797	550	1130	1526	
core10	1454	1549	800	1196	576	1637	1772	1277	1245	476	790	1280	

	task1	task2	task3	task4	task5	task6	task7	task8	task9	task10	task11	task12	
core1	1377	1755	400	968	531	1665	599	1593	1659	623	1606	990	
core2	1514	1516	1713	1501	648	449	794	1283	1077	350	1675	1131	
core3	582	818	1589	684	678	555	449	1348	1683	1219	698	1101	
core4	735	1493	1497	633	1261	1687	840	789	765	1460	1030	1003	
core5	1452	1771	440	1439	648	1610	330	1619	617	1029	1147	370	
core6	1492	322	1571	1746	1444	1163	1430	1750	649	490	882	494	
core7	1149	1743	971	1449	992	1692	761	1563	840	1744	603	1331	
core8	999	1332	624	1016	1213	1785	858	532	1480	931	391	1110	
core9	1071	1361	320	864	844	1086	1061	450	1205	467	615	935	
core10	843	1224	1447	920	346	883	1152	350	427	1753	1108	508	

	task1	task2	task3	task4	task5	task6	task7	task8	task9	task10	task11	task12	
core1	1333	714	370	830	1087	390	319	565	1402	1186	786	737	
core2	1280	1468	1762	321	1260	1255	1278	379	566	1279	1347	827	
core3	1027	529	1131	937	1311	1338	945	1208	708	1374	433	1326	
core4	1629	859	1291	1561	1258	531	800	846	447	363	1206	843	
core5	1226	602	1150	312	419	1620	1441	1243	1043	841	331	554	
core6	414	1101	1633	1348	807	1021	305	464	908	422	1115	711	
core7	901	340	828	1078	1783	1700	481	944	1707	1642	359	573	
core8	950	1698	1686	891	1182	865	1274	1044	1094	554	524	1709	
core9	810	481	1619	1103	1662	1487	491	1058	1742	474	510	547	
core10	643	1270	1217	1285	956	379	1281	1396	1586	1085	528	1455	

	task1	task2	task3	task4	task5	task6	task7	task8	task9	task10	task11	task12	
core1	1264	926	1709	1667	1486	541	791	1642	1771	895	1479	1768	
core2	1132	791	764	1659	601	534	771	937	301	1077	1315	1066	
core3	962	1123	864	1339	1693	358	314	841	500	340	1337	510	
core4	1212	1664	1637	1588	1203	802	1094	1721	376	883	1602	814	
core5	645	967	337	960	644	1406	911	1079	892	836	537	1667	
core6	1729	1247	436	1133	1652	1691	1589	315	1651	374	450	1442	
core7	490	1121	493	906	1393	1664	532	577	1503	1450	1699	363	
core8	1613	312	1319	1025	1503	466	1779	1518	1252	1295	1142	651	
core9	1533	1479	532	687	1290	1329	685	944	1178	378	493	1137	
core10	747	1589	1792	1753	1335	814	1729	1623	474	737	1092	1566	

	task1	task2	task3	task4	task5	task6	task7	task8	task9	task10	task11	task12	
core1	1194	1436	1286	680	585	308	1436	527	1398	612	316	491	
core2	1207	1480	1732	958	543	692	1501	1782	1395	1765	1163	1223	
core3	1144	1647	583	763	1417	410	1249	1086	921	576	579	1609	
core4	1061	983	819	774	1298	1302	998	757	580	792	1116	1409	
core5	1169	589	552	901	811	906	1485	712	378	1522	1465	1451	
core6	452	340	1323	930	1279	979	478	1696	1336	615	627	987	
core7	1645	1168	1633	1425	443	1533	713	881	406	570	1475	1251	
core8	1583	1683	1648	504	1207	985	1225	1163	594	1220	781	452	
core9	789	938	370	477	1788	1545	1627	1406	818	1517	1682	702	
core10	1310	628	318	658	1695	1488	597	1253	450	977	1308	1752	

	task1	task2	task3	task4	task5	task6	task7	task8	task9	task10	task11	task12	
core1	709	1373	560	1317	1195	1666	655	420	1474	1617	383	1644	
core2	1380	1069	1530	1136	1330	825	818	725	1105	1741	1148	1303	
core3	646	1176	1575	743	956	365	432	1068	689	625	1514	1328	
core4	1281	883	323	655	1552	502	820	300	698	1353	372	1703	
core5	906	1292	1210	505	1344	1520	1066	353	545	1435	1671	926	
core6	1638	1603	593	800	1495	435	995	591	1577	1118	1154	452	
core7	874	599	1566	826	1772	765	1555	1598	1233	348	1408	693	
core8	378	610	521	367	1790	1544	1243	1634	807	805	569	837	
core9	1533	757	953	1051	841	1286	966	935	990	1013	879	1304	
core10	547	767	303	1431	547	899	650	836	1306	1500	873	1798	

	task1	task2	task3	task4	task5	task6	task7	task8	task9	task10	task11	task12	
core1	377	1432	1642	384	1339	516	1355	1175	445	437	1034	1332	
core2	1490	493	443	1256	1596	346	1338	947	569	567	1612	390	
core3	981	1775	397	1142	380	810	690	913	1088	1786	1670	679	
core4	1584	1252	702	1635	458	1372	1409	1320	1061	1521	476	1778	
core5	753	1201	1709	1651	1422	848	1255	742	1314	1701	798	1308	
core6	1036	1149	596	397	597	1295	1186	910	1399	624	441	488	
core7	753	1748	748	1188	560	1154	1711	836	1742	1121	514	517	
core8	1771	1249	1290	900	1410	1239	1164	1203	866	1245	1516	1200	
core9	1516	1156	555	1773	1339	971	1345	1199	492	1370	1589	1721	
core10	739	951	1502	1649	1481	1106	1402	863	1428	484	339	647	

	task1	task2	task3	task4	task5	task6	task7	task8	task9	task10	task11	task12	
core1	1152	527	338	1359	592	967	1599	1454	542	1392	1494	433	
core2	503	1028	1496	451	909	1362	1401	1085	704	1226	428	1435	
core3	1123	1395	345	939	969	1444	305	870	647	1430	905	825	
core4	386	1233	1607	1187	1473	380	1517	1230	1016	777	567	903	
core5	677	1130	1657	1543	369	748	1394	1223	1201	1298	1254	437	
core6	367	468	1049	1713	1517	874	1475	1580	1776	1594	388	1730	
core7	935	940	1199	1432	1520	709	1036	1583	793	1298	537	1025	
core8	434	452	1576	380	1027	1130	412	448	775	557	994	1603	
core9	890	1724	322	1609	767	1722	944	896	1350	509	742	1793	
core10	719	1385	588	1440	847	344	1297	1145	910	1523	1568	1425	

	task1	task2	task3	task4	task5	task6	task7	task8	task9	task10	task11	task12	
core1	601	1613	1102	817	700	846	782	1616	883	1676	1686	1418	
core2	588	1037	315	1540	1230	377	351	1511	1169	1766	1030	1470	
core3	673	1064	1392	1771	1258	1671	1368	1718	878	804	1643	369	
core4	1739	1299	671	1055	308	1632	1407	508	1655	1354	1167	337	
core5	449	995	1472	1313	1185	1383	708	774	1252	570	808	1119	
core6	1535	1485	1443	1544	1167	922	458	1700	642	697	409	480	
core7	1351	657	1300	1743	1195	1764	312	1530	1247	661	1156	617	
core8	798	970	1669	1432	1438	505	363	1141	1516	1729	1653	555	
core9	309	1528	601	721	686	1519	1413	611	1577	790	1242	1218	
core10	609	880	348	978	1034	349	979	925	939	915	1313	637	

	task1	task2	task3	task4	task5	task6	task7	task8	task9	task10	task11	task12	
core1	717	1487	905	1492	424	387	674	874	1381	639	584	679	
core2	1608	1632	483	1522	664	1157	470	905	1061	1210	726	994	
core3	1728	815	1518	366	480	793	1762	452	558	1511	1782	307	
core4	1370	1567	1508	1190	1749	487	1001	1638	1600	1515	941	1413	
core5	641	1422	1181	1166	1579	1460	1591	1239	1520	1477	978	662	
core6	1624	1548	1769	588	301	1316	1065	741	1338	997	1097	1716	
core7	1711	350	852	1330	1429	1625	1136	804	397	1488	1761	844	
core8	1433	1514	1269	1048	1014	978	1045	1239	777	1681	522	1496	
core9	1770	805	322	1114	1123	1371	1747	1381	1614	1652	1441	894	
core10	512	813	581	920	1635	1753	1067	832	743	338	1123	454	

	task1	task2	task3	task4	task5	task6	task7	task8	task9	task10	task11	task12	
core1	1505	1042	481	770	1635	854	1528	1069	1747	1383	616	584	
core2	958	414	1183	830	882	903	556	1441	1119	922	1551	1423	
core3	1082	795	1564	577	1061	562	1756	937	372	908	1167	1660	
core4	358	1564	1229	1373	1799	1667	1707	1377	901	1249	413	844	
core5	609	1307	593	1004	443	818	685	1377	1428	955	658	1359	
core6	1383	1445	891	410	958	1496	1649	557	1383	730	1474	1119	
core7	672	976	1730	1343	1627	1796	442	1321	1049	395	820	945	
core8	886	1263	1449	835	488	1401	1606	1392	629	718	627	1646	
core9	535	1120	574	1417	1215	1163	1413	1035	977	949	1557	1551	
core10	1656	847	399	502	1510	562	1087	1283	893	652	527	1065	

	task1	task2	task3	task4	task5	task6	task7	task8	task9	task10	task11	task12	
core1	896	685	1521	540	618	1251	900	395	1769	744	810	1216	
core2	1224	1422	918	918	1504	1731	845	1568	446	413	671	603	
core3	1482	1208	802	1641	1381	613	691	767	406	354	312	924	
core4	1669	1179	841	896	1431	1512	955	1375	1767	482	777	985	
core5	1055	823	1166	859	378	505	1452	1433	1144	761	1620	510	
core6	1506	962	1122	467	1369	757	441	707	1117	356	1429	1558	
core7	632	1791	936	1586	1127	1414	606	576	681	1385	636	1748	
core8	622	561	464	1129	1329	984	349	1097	1234	441	503	501	
core9	905	1704	668	601	623	809	919	1772	485	431	312	1615	
core10	414	889	1169	534	585	1798	1213	792	851	1658	1418	1032	

	task1	task2	task3	task4	task5	task6	task7	task8	task9	task10	task11	task12	
core1	425	1092	1775	728	486	601	1714	1071	485	1044	1004	497	
core2	920	673	1362	943	601	478	1314	1239	352	1688	593	778	
core3	509	932	1664	718	450	610	1711	350	825	1634	853	775	
core4	1340	1286	1273	1127	1438	332	611	1210	1523	1230	937	718	
core5	399	724	1100	1277	1019	1185	1510	498	1194	803	1561	846	
core6	725	1667	568	504	324	336	1106	1005	1322	463	1089	1675	
core7	810	706	326	648	1661	469	557	1263	680	1080	585	783	
core8	936	1450	1681	758	845	1284	793	549	1292	419	514	1010	
core9	1297	1502	310	1229	634	600	1520	1588	1454	326	1224	1586	
core10	748	1526	1750	584	1712	626	1188	367	1085	720	990	371	

	task1	task2	task3	task4	task5	task6	task7	task8	task9	task10	task11	task12	
core1	550	1423	497	468	1379	1208	1787	1024	1371	794	458	1466	
core2	1726	1579	1307	922	922	758	325	1513	1426	1273	952	1063	
core3	544	1725	538	995	1536	1048	1616	973	1596	1060	531	1531	
core4	1052	549	1135	476	1661	1537	1247	1695	1413	1297	383	1431	
core5	523	566	1440	1767	1291	1756	1671	1711	883	1734	406	1796	
core6	1577	743	827	558	1344	1419	1097	841	1191	985	1249	995	
core7	1318	504	1557	1031	322	563	1099	613	834	1361	439	1468	
core8	1073	974	1021	383	1751	441	1135	891	1461	1672	1542	797	
core9	960	1413	1646	1576	1766	991	782	972	347	1163	308	994	
core10	1214	1519	582	1043	819	1672	309	1292	380	1054	1482	599	

	task1	task2	task3	task4	task5	task6	task7	task8	task9	task10	task11	task12	
core1	1785	984	300	1729	1161	881	615	1131	586	1235	736	723	
core2	768	652	668	316	764	828	1346	393	899	1779	657	1454	
core3	774	1598	1743	925	1168	1083	1688	1739	1774	1113	838	989	
core4	382	369	300	786	755	688	1183	888	963	668	1721	1187	
core5	656	1490	926	1269	392	476	558	591	1794	739	1646	451	
core6	785	970	1287	1238	717	662	1038	1364	985	987	822	1038	
core7	694	1176	1061	521	1289	672	1626	574	469	1249	1158	1520	
core8	754	1270	799	1433	1133	418	1770	567	1248	1488	1542	1080	
core9	1301	648	412	1725	1401	1003	1091	443	932	1608	1415	1294	
core10	380	1789	419	816	1153	1621	410	554	616	560	1617	1498	

	task1	task2	task3	task4	task5	task6	task7	task8	task9	task10	task11	task12	
core1	1657	1724	1687	463	309	528	1238	524	1011	1671	450	988	
core2	844	580	384	1440	1606	1058	988	1197	1007	1478	756	340	
core3	1666	1101	793	792	715	961	1488	1239	379	745	1785	653	
core4	1419	586	781	620	1766	1238	700	894	1326	879	594	467	
core5	809	721	1128	1338	593	1662	1055	1386	964	642	510	1092	
core6	409	1060	690	725	475	323	1743	620	1314	1212	636	1274	
core7	693	1408	961	544	1432	1510	451	1346	814	1087	1488	1594	
core8	549	1586	1303	886	876	1229	1763	1433	1425	1628	688	827	
core9	472	500	1318	691	1079	613	1175	936	1307	511	831	900	
core10	324	1706	1647	1442	359	1624	912	1569	721	409	1421	1550	

	task1	task2	task3	task4	task5	task6	task7	task8	task9	task10	task11	task12	
core1	1422	663	1491	1652	679	1295	722	805	1257	1584	464	685	
core2	935	536	1460	1546	330	1405	938	1214	850	1226	1282	420	
core3	943	966	1288	1501	349	1181	1554	696	1429	1726	1681	1732	
core4	1322	1142	390	434	1796	1749	768	746	884	987	311	728	
core5	1229	1596	976	1570	1692	1707	501	871	986	1778	1699	984	
core6	497	1725	1618	1380	1606	1047	854	379	1287	839	1546	1444	
core7	1113	571	1478	325	1382	1251	478	617	908	1435	1561	1191	
core8	770	752	1534	350	793	323	1030	1220	516	622	1023	1055	
core9	644	733	573	428	1306	931	508	404	588	1214	869	1590	
core10	1215	1509	821	1511	951	917	940	1668	531	1697	1751	1091	

	task1	task2	task3	task4	task5	task6	task7	task8	task9	task10	task11	task12	
core1	468	1776	1656	1258	1010	333	1139	357	897	922	1624	552	
core2	1646	1150	1551	569	937	859	1577	371	513	1556	1581	452	
core3	1536	1464	842	303	1589	802	749	653	612	1576	332	1204	
core4	1233	1135	1770	770	1205	1775	1566	477	536	918	1159	937	
core5	854	1263	1292	484	1235	1683	608	1335	1610	809	336	1391	
core6	1557	645	1291	1704	1189	847	1232	432	1543	1250	587	487	
core7	1237	1244	1765	1417	1450	1331	1126	831	888	1795	723	1647	
core8	398	900	739	1247	1204	987	830	1725	1599	1351	884	1675	
core9	1018	1633	313	1333	853	801	1040	738	1780	777	1663	921	
core10	1543	1154	751	986	1348	923	823	1011	1121	458	317	1107	

	task1	task2	task3	task4	task5	task6	task7	task8	task9	task10	task11	task12	
core1	950	598	337	1323	673	898	1716	354	317	852	862	540	
core2	316	1630	834	887	1707	409	374	956	1205	1186	386	675	
core3	1162	1359	1389	986	541	439	410	698	1140	1521	958	435	
core4	1169	1175	1293	802	507	1145	1617	1745	1682	1371	325	1147	
core5	305	326	1740	734	1080	913	853	633	990	886	1445	1581	
core6	1456	1556	1301	592	383	645	1726	1796	533	304	616	683	
core7	614	460	1103	767	1226	1140	1337	916	1241	1717	1162	313	
core8	825	423	1521	993	1642	966	306	1490	805	1627	1078	842	
core9	794	1294	767	314	582	1582	366	1544	1718	472	481	1124	
